 #     R_sun        mass_sun           L_sun            logR            logT            logP          logRho          Csound              dm           nu_pp          nu_pep          nu_hep          nu_7Be           nu_8B          nu_13N          nu_15O          nu_17F          log_ne              H1             He4             He3             C12             C13             N14             N15             O16             O17             O18              Ne              Na              Mg              Al              Si               P               S              Cl              Ar               K              Ca              Sc              Ti               V              Cr              Mn              Fe              Co              Ni
   1.000e-02     1.06053e-04     9.00717e-04     8.84260e+00     7.19175e+00     1.73582e+01     2.17282e+00     5.05166e+07     1.59270e-05      2.01296e-01      3.16004e-01      8.38420e-02      9.70031e-01      2.36934e+00      1.51137e+00      2.03239e+00      2.21295e+00     2.00111e+00     3.48866e-01     6.31361e-01     8.35639e-06     1.15849e-05     3.23659e-06     5.37517e-03     1.14189e-07     7.41327e-03     5.07889e-04     1.90456e-05     2.39290e-03     4.12578e-05     7.74560e-04     6.83981e-05     8.75910e-04     7.85177e-06     4.36522e-04     5.80264e-06     1.03784e-04     4.42047e-06     7.02883e-05     4.64264e-08     3.66452e-06     4.37569e-07     2.13766e-05     1.56255e-05     1.52003e-03     4.11462e-06     8.76117e-05
   1.050e-02     1.22713e-04     1.04180e-03     8.86379e+00     7.19166e+00     1.73579e+01     2.17249e+00     5.05191e+07     1.75462e-05      2.21784e-01      3.47997e-01      9.24849e-02      1.06652e+00      2.59908e+00      1.65804e+00      2.22962e+00      2.42742e+00     2.00087e+00     3.49168e-01     6.31059e-01     8.38010e-06     1.15797e-05     3.23516e-06     5.37508e-03     1.14192e-07     7.41534e-03     5.05718e-04     1.90454e-05     2.39289e-03     4.12575e-05     7.74555e-04     6.83977e-05     8.75904e-04     7.85172e-06     4.36519e-04     5.80260e-06     1.03783e-04     4.42044e-06     7.02878e-05     4.64261e-08     3.66450e-06     4.37566e-07     2.13764e-05     1.56254e-05     1.52002e-03     4.11459e-06     8.76111e-05
   1.100e-02     1.41020e-04     1.19672e-03     8.88399e+00     7.19156e+00     1.73576e+01     2.17214e+00     5.05216e+07     1.92415e-05      2.43240e-01      3.81465e-01      1.01557e-01      1.16713e+00      2.83742e+00      1.81024e+00      2.43429e+00      2.64992e+00     2.00062e+00     3.49485e-01     6.30743e-01     8.40499e-06     1.15740e-05     3.23357e-06     5.37485e-03     1.14192e-07     7.41730e-03     5.03437e-04     1.90448e-05     2.39280e-03     4.12561e-05     7.74527e-04     6.83953e-05     8.75874e-04     7.85145e-06     4.36504e-04     5.80240e-06     1.03780e-04     4.42029e-06     7.02854e-05     4.64245e-08     3.66437e-06     4.37551e-07     2.13757e-05     1.56249e-05     1.51996e-03     4.11445e-06     8.76081e-05
   1.150e-02     1.61058e-04     1.36617e-03     8.90330e+00     7.19145e+00     1.73573e+01     2.17177e+00     5.05242e+07     2.10129e-05      2.65662e-01      4.16407e-01      1.11062e-01      1.27178e+00      3.08410e+00      1.96781e+00      2.64618e+00      2.88018e+00     2.00036e+00     3.49815e-01     6.30412e-01     8.43107e-06     1.15687e-05     3.23212e-06     5.37496e-03     1.14200e-07     7.41983e-03     5.01094e-04     1.90453e-05     2.39288e-03     4.12573e-05     7.74551e-04     6.83973e-05     8.75899e-04     7.85168e-06     4.36516e-04     5.80257e-06     1.03783e-04     4.42042e-06     7.02874e-05     4.64258e-08     3.66448e-06     4.37564e-07     2.13763e-05     1.56253e-05     1.52001e-03     4.11456e-06     8.76106e-05
   1.200e-02     1.82894e-04     1.55069e-03     8.92179e+00     7.19135e+00     1.73570e+01     2.17139e+00     5.05269e+07     2.28597e-05      2.89044e-01      4.52799e-01      1.20999e-01      1.38038e+00      3.33870e+00      2.13048e+00      2.86492e+00      3.11783e+00     2.00009e+00     3.50160e-01     6.30068e-01     8.45835e-06     1.15627e-05     3.23048e-06     5.37484e-03     1.14204e-07     7.42215e-03     4.98637e-04     1.90451e-05     2.39286e-03     4.12569e-05     7.74542e-04     6.83965e-05     8.75889e-04     7.85159e-06     4.36512e-04     5.80250e-06     1.03782e-04     4.42037e-06     7.02866e-05     4.64253e-08     3.66444e-06     4.37559e-07     2.13761e-05     1.56251e-05     1.51999e-03     4.11452e-06     8.76097e-05
   1.250e-02     2.06608e-04     1.75092e-03     8.93951e+00     7.19123e+00     1.73566e+01     2.17099e+00     5.05297e+07     2.47818e-05      3.13383e-01      4.90642e-01      1.31371e-01      1.49288e+00      3.60091e+00      2.29804e+00      3.09026e+00      3.36257e+00     1.99982e+00     3.50519e-01     6.29709e-01     8.48683e-06     1.15561e-05     3.22865e-06     5.37454e-03     1.14203e-07     7.42429e-03     4.96072e-04     1.90443e-05     2.39274e-03     4.12549e-05     7.74507e-04     6.83934e-05     8.75849e-04     7.85123e-06     4.36491e-04     5.80224e-06     1.03777e-04     4.42016e-06     7.02834e-05     4.64232e-08     3.66427e-06     4.37539e-07     2.13751e-05     1.56244e-05     1.51992e-03     4.11433e-06     8.76056e-05
   1.300e-02     2.32270e-04     1.96742e-03     8.95654e+00     7.19111e+00     1.73562e+01     2.17057e+00     5.05327e+07     2.67773e-05      3.38657e-01      5.29888e-01      1.42172e-01      1.60907e+00      3.87014e+00      2.47015e+00      3.32170e+00      3.61384e+00     1.99952e+00     3.50893e-01     6.29336e-01     8.51652e-06     1.15494e-05     3.22680e-06     5.37429e-03     1.14204e-07     7.42660e-03     4.93423e-04     1.90436e-05     2.39266e-03     4.12534e-05     7.74479e-04     6.83909e-05     8.75817e-04     7.85094e-06     4.36475e-04     5.80202e-06     1.03773e-04     4.42000e-06     7.02808e-05     4.64215e-08     3.66413e-06     4.37523e-07     2.13743e-05     1.56238e-05     1.51986e-03     4.11418e-06     8.76024e-05
   1.350e-02     2.59959e-04     2.20083e-03     8.97293e+00     7.19099e+00     1.73559e+01     2.17014e+00     5.05357e+07     2.88488e-05      3.64899e-01      5.70586e-01      1.53418e-01      1.72906e+00      4.14645e+00      2.64685e+00      3.55931e+00      3.87170e+00     1.99921e+00     3.51281e-01     6.28948e-01     8.54742e-06     1.15428e-05     3.22500e-06     5.37425e-03     1.14209e-07     7.42926e-03     4.90705e-04     1.90436e-05     2.39267e-03     4.12535e-05     7.74480e-04     6.83909e-05     8.75818e-04     7.85095e-06     4.36476e-04     5.80203e-06     1.03773e-04     4.42001e-06     7.02809e-05     4.64215e-08     3.66414e-06     4.37523e-07     2.13743e-05     1.56239e-05     1.51985e-03     4.11418e-06     8.76025e-05
   1.400e-02     2.89754e-04     2.45175e-03     8.98874e+00     7.19087e+00     1.73555e+01     2.16970e+00     5.05388e+07     3.09944e-05      3.92085e-01      6.12693e-01      1.65104e-01      1.85265e+00      4.42921e+00      2.82775e+00      3.80257e+00      4.13559e+00     1.99890e+00     3.51683e-01     6.28547e-01     8.57955e-06     1.15360e-05     3.22313e-06     5.37421e-03     1.14214e-07     7.43202e-03     4.87899e-04     1.90437e-05     2.39268e-03     4.12536e-05     7.74483e-04     6.83911e-05     8.75820e-04     7.85097e-06     4.36477e-04     5.80204e-06     1.03773e-04     4.42002e-06     7.02810e-05     4.64216e-08     3.66414e-06     4.37524e-07     2.13744e-05     1.56239e-05     1.51985e-03     4.11419e-06     8.76027e-05
   1.450e-02     3.21711e-04     2.72067e-03     9.00397e+00     7.19074e+00     1.73551e+01     2.16924e+00     5.05420e+07     3.32122e-05      4.20190e-01      6.56169e-01      1.77224e-01      1.97966e+00      4.71785e+00      3.01247e+00      4.05098e+00      4.40495e+00     1.99857e+00     3.52098e-01     6.28131e-01     8.61289e-06     1.15293e-05     3.22129e-06     5.37431e-03     1.14224e-07     7.43506e-03     4.85023e-04     1.90442e-05     2.39274e-03     4.12548e-05     7.74505e-04     6.83931e-05     8.75846e-04     7.85120e-06     4.36490e-04     5.80221e-06     1.03776e-04     4.42015e-06     7.02831e-05     4.64230e-08     3.66425e-06     4.37537e-07     2.13750e-05     1.56244e-05     1.51989e-03     4.11431e-06     8.76053e-05
